task,model,accuracy,precision,recall,f1,roc_auc,selected,mae,r2
Churn propensity,XGBoost,0.6419434647575933,0.5757411424439624,0.4168848167539267,0.4836015791071971,0.6656883258566457,True,,
Churn propensity,Random Forest,0.6269937358530294,0.5299978340914013,0.6405759162303665,0.5800640037928173,0.6653323284253501,False,,
Churn propensity,Logistic Regression,0.6306258882981524,0.5366772636288708,0.5965968586387435,0.5650529969627471,0.6630542744816375,False,,
12-month CLV proxy,XGBoost,,,,,,True,38.152438431252925,0.9175437039744146
12-month CLV proxy,Random Forest,,,,,,False,38.26343446665002,0.9166824582379636
12-month CLV proxy,Linear Regression,,,,,,False,54.62095312245442,0.8202194379121837
Review sentiment,TF-IDF + Logistic Regression,0.8554721339878718,0.9206020348172941,0.8554721339878718,0.8830927639575552,,True,,
