column,inferred_dtype,missing_pct_sample,unique_values_sample,example_value
order_id,str,0.0,10000,e481f51cbdc54678b7cc49136f2d6af7
customer_id,str,0.0,10000,9ef432eb6251297304e76186b10a928d
order_status,str,0.0,7,delivered
order_purchase_timestamp,str,0.0,9995,2017-10-02 10:56:33
order_approved_at,str,0.21,9868,2017-10-02 11:07:15
order_delivered_carrier_date,str,1.66,9511,2017-10-04 19:55:00
order_delivered_customer_date,str,2.8,9710,2017-10-10 21:25:13
order_estimated_delivery_date,str,0.0,421,2017-10-18 00:00:00
